
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
1985,NFL,Atlanta Falcons,4,12,0,,282,452,-170,Henning,Riggs,Archer,Riggs,Johnson,26,20,28,25,9,27,23,28,-10.6,1.7,-8.9,-2.1,-6.8
1984,NFL,Atlanta Falcons,4,12,0,,281,382,-101,Henning,Riggs,Bartkowski,Riggs,Bailey,22,19,22,15,23,23,19,28,-6.3,-0.3,-6.6,-3.7,-2.9
1983,NFL,Atlanta Falcons,7,9,0,,370,389,-19,Henning,Andrews,Bartkowski,Andrews,Bailey,10,8,23,25,14,18,18,28,-1.2,2.0,0.9,2.9,-2.1
1982,NFL,Atlanta Falcons*,5,4,0,Lost WC,183,199,-16,Bennett,Andrews,Bartkowski,Andrews,Andrews,14,9,21,14,7,18,11,28,-1.8,-2.0,-3.8,-0.5,-3.3
1981,NFL,Atlanta Falcons,7,9,0,,426,355,71,Bennett,Andrews,Bartkowski,Andrews,Jenkins,2,7,18,14,9,7,13,28,4.4,-0.5,4.0,6.5,-2.6
1980,NFL,Atlanta Falcons*,12,4,0,Lost Div,405,272,133,Bennett,Andrews,Bartkowski,Andrews,Jenkins,5,3,5,16,1,4,9,28,8.3,-0.5,7.8,4.5,3.4
1979,NFL,Atlanta Falcons,6,10,0,,300,388,-88,Bennett,Van Note,Bartkowski,Andrews,Francis,19,17,26,25,20,26,23,28,-5.5,-1.1,-6.6,-1.9,-4.7
1978,NFL,Atlanta Falcons*,9,7,0,Lost Div,240,290,-50,Bennett,Kuykendall,Bartkowski,Bean,Francis,26,26,14,5,19,24,21,28,-3.1,-1.5,-4.6,-3.7,-0.9
1977,NFL,Atlanta Falcons,7,7,0,,179,129,50,Bennett,Lawrence,Hunter,Stanback,Jenkins,25,25,1,2,1,9,16,28,3.6,-3.1,0.5,-6.1,6.6
1976,NFL,Atlanta Falcons,4,10,0,,172,312,-140,PepplerCampbell,Jenkins,Bartkowski,Bean,Jenkins,24,27,22,20,18,25,27,28,-10.0,-0.3,-10.3,-6.7,-3.5
1975,NFL,Atlanta Falcons,4,10,0,,240,289,-49,Campbell,Hampton,Bartkowski,Hampton,Jenkins,19,20,15,22,19,15,20,26,-3.5,0.0,-3.5,-2.7,-0.8
1974,NFL,Atlanta Falcons,3,11,0,,111,271,-160,Van BrocklinCampbell,Humphrey,Lee,Hampton,Burrow,26,26,16,15,26,26,26,26,-11.4,-0.9,-12.3,-9.7,-2.6
1973,NFL,Atlanta Falcons,9,5,0,,318,224,94,Van Brocklin,Hampton,Lee,Hampton,Burrow,7,15,9,6,9,8,7,26,6.7,-0.9,5.9,2.3,3.5
1972,NFL,Atlanta Falcons,7,7,0,,269,274,-5,Van Brocklin,Malone,Berry,Hampton,Malone,16,16,14,7,15,16,13,26,-0.4,-1.6,-1.9,-2.3,0.4
1971,NFL,Atlanta Falcons,7,6,1,,274,277,-3,Van Brocklin,Berry,Berry,Butler,Burrow,13,15,13,8,11,13,12,26,-0.2,1.5,1.3,0.3,1.0
1970,NFL,Atlanta Falcons,4,8,2,,206,261,-55,Van Brocklin,Nobis,Berry,Butler,Mitchell,22,23,10,11,16,19,22,26,-3.9,1.6,-2.3,-3.5,1.2
1969,NFL,Atlanta Falcons,6,8,0,,276,268,8,Van Brocklin,Brezina,Berry,Butler,Flatley,11,13,6,9,2,8,13,16,0.6,2.3,2.8,0.3,2.5
1968,NFL,Atlanta Falcons,2,12,0,,170,389,-219,Van BrocklinHecker,Lothridge,Berry,Butler,Long,16,16,15,16,13,16,16,16,-15.6,3.7,-12.0,-6.4,-5.6
1967,NFL,Atlanta Falcons,1,12,1,,175,422,-247,Hecker,Nobis,Johnson,Coffey,McDonald,16,16,16,16,15,16,16,16,-17.6,3.2,-14.5,-7.3,-7.2
1966,NFL,Atlanta Falcons,3,11,0,,204,437,-233,Hecker,Coffey,Johnson,Coffey,Hawkins,15,14,14,15,12,14,15,15,-16.6,1.1,-15.5,-6.5,-9.0
