
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
2000,NFL,Miami Dolphins*,11,5,0,Lost Div,323,226,97,Wannstedt,Taylor,Fiedler,Smith,Gadsden,16,26,3,6,5,8,20,31,6.1,1.0,7.1,0.0,7.1
1999,NFL,Miami Dolphins*,9,7,0,Lost Div,326,336,-10,Johnson,Madison,Marino,Johnson,Martin,13,20,19,5,23,21,6,31,-0.6,2.5,1.9,1.2,0.7
1998,NFL,Miami Dolphins*,10,6,0,Lost Div,321,265,56,Johnson,Thomas,Marino,Abdul-Jabbar,McDuffie,16,16,1,3,7,10,8,30,3.5,2.4,5.9,-0.7,6.5
1997,NFL,Miami Dolphins*,9,7,0,Lost WC,339,327,12,Johnson,Marino,Marino,Abdul-Jabbar,McDuffie,13,11,16,26,8,14,17,30,0.8,0.6,1.3,1.0,0.3
1996,NFL,Miami Dolphins,8,8,0,,339,325,14,Johnson,Webb,Marino,Abdul-Jabbar,McDuffie,13,14,17,17,4,13,15,30,0.9,-0.6,0.3,0.6,-0.4
1995,NFL,Miami Dolphins*,9,7,0,Lost WC,398,332,66,Shula,Webb,Marino,Parmalee,Fryar,7,8,10,16,18,7,9,30,4.1,-1.4,2.7,3.1,-0.4
1994,NFL,Miami Dolphins*,10,6,0,Lost Div,389,327,62,Shula,Webb,Marino,Parmalee,Fryar,3,1,17,19,13,7,4,28,3.9,0.3,4.2,4.5,-0.3
1993,NFL,Miami Dolphins,9,7,0,,349,351,-2,Shula,Webb,Mitchell,Higgs,Fryar,5,2,24,20,22,15,5,28,-0.1,-0.3,-0.5,3.9,-4.3
1992,NFL,Miami Dolphins*,11,5,0,Lost Conf,340,281,59,Shula,Cox,Marino,Higgs,Duper,8,5,11,10,15,11,6,28,3.7,-2.2,1.5,2.1,-0.6
1991,NFL,Miami Dolphins,8,8,0,,343,349,-6,Shula,Marino,Marino,Higgs,Duper,6,7,24,25,23,18,16,28,-0.4,-3.7,-4.1,0.7,-4.8
1990,NFL,Miami Dolphins*,12,4,0,Lost Div,336,242,94,Shula,Offerdahl,Marino,Smith,Duper,14,11,4,7,10,7,8,28,5.9,-1.2,4.7,0.5,4.2
1989,NFL,Miami Dolphins,8,8,0,,331,379,-48,Shula,Marino,Marino,Smith,Clayton,15,7,22,24,27,19,17,28,-3.0,-1.8,-4.8,-0.6,-4.2
1988,NFL,Miami Dolphins,6,10,0,,319,380,-61,Shula,Marino,Marino,Hampton,Clayton,17,5,24,26,20,20,14,28,-3.8,1.0,-2.8,1.0,-3.9
1987,NFL,Miami Dolphins,8,7,0,,362,335,27,Shula,Marino,Marino,Stradford,Clayton,7,4,16,26,18,9,11,28,1.8,0.3,2.1,3.2,-1.1
1986,NFL,Miami Dolphins,8,8,0,,430,405,25,Shula,Stephenson,Marino,Hampton,Duper,1,2,26,26,22,12,9,28,1.6,-1.1,0.5,6.2,-5.7
1985,NFL,Miami Dolphins*,12,4,0,Lost Conf,428,320,108,Shula,Stephenson,Marino,Nathan,Clayton,4,6,12,23,13,5,14,28,6.8,0.3,7.0,6.1,0.9
1984,NFL,Miami Dolphins*,14,2,0,Lost SB,513,298,215,Shula,Marino,Marino,Bennett,Clayton,1,1,7,19,5,2,2,28,13.4,-2.9,10.6,9.1,1.5
1983,NFL,Miami Dolphins*,12,4,0,Lost Div,389,250,139,Shula,Betters,Marino,Franklin,Duper,7,16,1,7,2,2,14,28,8.7,-1.0,7.7,2.6,5.2
1982,NFL,Miami Dolphins*,7,2,0,Lost SB,198,131,67,Shula,Baumhower,Woodley,Franklin,Cefalo,10,19,2,1,7,3,8,28,7.4,0.8,8.2,2.6,5.6
1981,NFL,Miami Dolphins*,11,4,1,Lost Div,345,275,70,Shula,Baumhower,Woodley,Nathan,Harris,11,16,5,15,12,8,14,28,4.4,-1.5,2.9,0.1,2.8
1980,NFL,Miami Dolphins,8,8,0,,266,305,-39,Shula,Baumhower,Woodley,Williams,Nathan,24,26,9,14,11,19,23,28,-2.4,0.9,-1.6,-4.6,3.1
1979,NFL,Miami Dolphins*,10,6,0,Lost Div,341,257,84,Shula,Baumhower,Griese,Csonka,Moore,11,16,4,4,12,4,7,28,5.3,-0.9,4.3,0.3,4.0
1978,NFL,Miami Dolphins*,11,5,0,Lost WC,372,254,118,Shula,Williams,Griese,Williams,Harris,2,13,6,23,1,3,20,28,7.4,0.2,7.6,4.2,3.3
1977,NFL,Miami Dolphins,10,4,0,,313,197,116,Shula,Griese,Griese,Malone,Moore,3,10,5,16,9,5,10,28,8.3,-0.5,7.8,4.4,3.5
1976,NFL,Miami Dolphins,6,8,0,,263,264,-1,Shula,Langer,Griese,Malone,Moore,15,13,15,26,8,15,22,28,-0.1,-0.0,-0.1,-1.8,1.7
1975,NFL,Miami Dolphins,10,4,0,,357,222,135,Shula,Little,Griese,Morris,Moore,6,11,4,6,13,4,7,26,9.6,-0.3,9.3,3.3,6.0
1974,NFL,Miami Dolphins*,11,3,0,Lost Div,327,216,111,Shula,Langer,Griese,Csonka,Moore,3,11,6,8,11,5,8,26,7.9,-1.8,6.1,3.9,2.3
1973,NFL,Miami Dolphins*,12,2,0,Won SB,343,150,193,Shula,Anderson,Griese,Csonka,Warfield,5,9,1,3,12,2,4,26,13.8,-0.5,13.3,5.0,8.3
1972,NFL,Miami Dolphins*,14,0,0,Won SB,385,171,214,Shula,Little,Morrall,Csonka,Warfield,1,1,1,1,2,1,1,26,15.3,-4.3,11.0,4.5,6.5
1971,NFL,Miami Dolphins*,10,3,1,Lost SB,315,174,141,Shula,Warfield,Griese,Csonka,Warfield,4,5,3,5,7,3,4,26,10.1,-2.4,7.7,2.4,5.3
1970,NFL,Miami Dolphins*,10,4,0,Lost Div,297,228,69,Shula,Kiick,Griese,Csonka,Warfield,11,11,5,15,7,8,14,26,4.9,-6.3,-1.3,-1.3,-0.0
1969,AFL,Miami Dolphins,3,10,1,,233,332,-99,Wilson,Buoniconti,Griese,Kiick,Seiple,9,9,7,5,9,9,8,10,-7.1,0.4,-6.6,-4.4,-2.2
1968,AFL,Miami Dolphins,5,8,1,,276,355,-79,Wilson,Griese,Griese,Kiick,Noonan,6,6,7,9,3,6,6,10,-5.6,-0.9,-6.5,-2.5,-4.0
1967,AFL,Miami Dolphins,4,10,0,,219,407,-188,Wilson,Clancy,Griese,Haynes,Clancy,9,6,8,8,6,9,8,9,-13.4,1.2,-12.2,-6.2,-6.0
1966,AFL,Miami Dolphins,3,11,0,,213,362,-149,Wilson,Warren,Wood,Auer,Roberson,8,8,7,8,3,8,8,9,-10.6,0.9,-9.7,-7.3,-2.4
