
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
1987,NFL,Houston Oilers*,9,6,0,Lost Div,345,349,-4,Glanville,Munchak,Moon,Rozier,Hill,10,8,19,17,15,13,10,28,-0.3,2.2,1.9,3.2,-1.2
1986,NFL,Houston Oilers,5,11,0,,274,329,-55,Glanville,Moon,Moon,Rozier,Hill,23,16,16,13,24,21,14,28,-3.4,-0.5,-3.9,-4.4,0.4
1985,NFL,Houston Oilers,5,11,0,,284,412,-128,CampbellGlanville,Munchak,Moon,Rozier,Hill,25,24,23,27,16,24,28,28,-8.0,-0.9,-8.9,-4.9,-4.0
1984,NFL,Houston Oilers,3,13,0,,240,437,-197,Campbell,Moon,Moon,Moriarty,Smith,27,23,26,27,20,26,25,28,-12.3,0.3,-12.0,-5.9,-6.0
1983,NFL,Houston Oilers,2,14,0,,288,460,-172,StudleyBiles,Smith,Luck,Campbell,Smith,22,24,27,22,25,28,23,28,-10.8,-0.8,-11.5,-3.7,-7.9
1982,NFL,Houston Oilers,1,8,0,,136,245,-109,Biles,Casper,Nielsen,Campbell,Casper,24,28,27,28,26,27,28,28,-12.1,1.1,-11.0,-3.9,-7.1
1981,NFL,Houston Oilers,7,9,0,,281,355,-74,Biles,Brazile,Stabler,Campbell,Burrough,23,27,18,24,22,24,27,28,-4.6,-0.1,-4.7,-3.1,-1.6
1980,NFL,Houston Oilers*,11,5,0,Lost WC,295,251,44,Phillips,Brazile,Stabler,Campbell,Barber,20,4,2,5,21,11,4,28,2.8,-1.1,1.6,-2.7,4.4
1979,NFL,Houston Oilers*,11,5,0,Lost Conf,362,331,31,Phillips,Campbell,Pastorini,Campbell,Burrough,8,22,16,13,2,10,15,28,1.9,2.4,4.4,2.9,1.4
1978,NFL,Houston Oilers*,10,6,0,Lost Conf,283,298,-15,Phillips,Campbell,Pastorini,Campbell,Burrough,14,16,16,17,19,15,16,28,-0.9,0.5,-0.4,-0.6,0.2
1977,NFL,Houston Oilers,8,6,0,,299,230,69,Phillips,Burrough,Pastorini,Coleman,Burrough,5,18,14,14,3,7,18,28,4.9,1.7,6.6,4.4,2.3
1976,NFL,Houston Oilers,5,9,0,,222,273,-51,Phillips,Brazile,Pastorini,Coleman,Burrough,22,24,17,10,20,18,18,28,-3.6,1.9,-1.8,-2.7,1.0
1975,NFL,Houston Oilers,10,4,0,,293,226,67,Phillips,Burrough,Pastorini,Coleman,Burrough,12,19,5,11,6,10,16,26,4.8,1.6,6.4,1.2,5.2
1974,NFL,Houston Oilers,7,7,0,,236,282,-46,Gillman,Pastorini,Pastorini,Rodgers,Burrough,17,24,18,22,9,18,25,26,-3.3,1.4,-1.9,-1.3,-0.6
1973,NFL,Houston Oilers,1,13,0,,199,447,-248,GillmanPeterson,Willis,Pastorini,Willis,Parks,23,24,26,24,26,26,26,26,-17.7,1.0,-16.8,-4.4,-12.4
1972,NFL,Houston Oilers,1,13,0,,164,380,-216,Peterson,Pastorini,Pastorini,Robinson,Burrough,25,26,25,23,20,25,25,26,-15.4,2.4,-13.0,-7.1,-5.9
1971,NFL,Houston Oilers,4,9,1,,251,330,-79,Hughes,Houston,Pastorini,Holmes,Joiner,16,22,22,9,24,19,17,26,-5.6,-1.1,-6.7,-3.0,-3.8
1970,NFL,Houston Oilers,3,10,1,,217,352,-135,Lemm,Moore,Johnson,Dawkins,Reed,20,10,25,25,24,24,21,26,-9.6,0.4,-9.2,-3.5,-5.8
1969,AFL,Houston Oilers*,6,6,2,Lost Div,278,279,-1,Lemm,Farr,Beathard,Granger,LeVias,7,5,5,3,8,5,3,10,-0.1,-1.1,-1.2,-2.1,0.9
1968,AFL,Houston Oilers,7,7,0,,303,248,55,Lemm,Farr,Beathard,Granger,Reed,5,5,3,2,7,5,4,10,3.9,-0.8,3.1,-1.0,4.1
1967,AFL,Houston Oilers*,9,4,1,Lost Conf,258,199,59,Lemm,Farr,Beathard,Granger,Granger,6,8,1,5,2,3,7,9,4.2,-1.6,2.6,-5.7,8.3
1966,AFL,Houston Oilers,3,11,0,,335,396,-61,Lemm,Frazier,Blanda,Burrell,Frazier,3,7,9,9,7,7,7,9,-4.4,-0.4,-4.8,2.1,-6.9
1965,AFL,Houston Oilers,4,10,0,,298,429,-131,Taylor,Hicks,Blanda,Burrell,Frazier,5,6,8,8,5,8,8,8,-9.4,1.2,-8.2,1.2,-9.4
1964,AFL,Houston Oilers,4,10,0,,310,355,-45,Baugh,Hennigan,Blanda,Blanks,Hennigan,5,3,7,8,6,6,6,8,-3.2,0.4,-2.8,-0.8,-2.0
1963,AFL,Houston Oilers,6,8,0,,302,372,-70,Ivy,Banfield,Blanda,Tolar,Hennigan,6,4,6,6,5,6,6,8,-5.0,0.6,-4.4,-1.1,-3.3
1962,AFL,Houston Oilers*,11,3,0,Lost Champ,387,270,117,Ivy,Banfield,Blanda,Tolar,Hennigan,2,1,2,2,5,2,2,8,8.4,-1.0,7.3,4.1,3.2
1961,AFL,Houston Oilers*,10,3,1,Won Champ,513,242,271,LemmRymkus,Blanda,Blanda,Cannon,Hennigan,1,1,2,2,3,1,1,8,19.4,-2.4,16.9,11.4,5.5
1960,AFL,Houston Oilers*,10,4,0,Won Champ,379,285,94,Rymkus,Groman,Blanda,Cannon,Groman,2,1,2,6,2,2,5,8,6.7,-0.8,5.9,2.4,3.5
